time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,no,333.92701298701314,206.33506493506485,260.42499999999995,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,80.74761486053467,0.8245928287506104,11111,1181
no,no,333.92701298701314,206.33506493506485,256.70500000000004,100.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,80.74761486053467,0.8723447322845459,11111,1181
no,no,333.92701298701314,206.33506493506485,267.0083333333333,100.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,80.74761486053467,0.8330388069152832,11111,1181
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,80.74761486053467,0.7411618232727051,11111,1181
no,no,333.92701298701314,206.33506493506485,269.395,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,80.74761486053467,0.7816245555877686,11111,1181
no,no,333.92701298701314,206.33506493506485,280.60909090909087,100.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,80.74761486053467,0.7694971561431885,11111,1181
no,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,80.74761486053467,0.4716477394104004,11111,1181
no,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,80.74761486053467,0.4639914035797119,11111,1181
no,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,80.74761486053467,0.4917166233062744,11111,1181
no,no,333.92701298701314,206.33506493506485,269.395,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,80.74761486053467,0.8208403587341309,11111,1181
no,no,333.92701298701314,206.33506493506485,269.97217391304343,100.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,80.74761486053467,0.8133537769317627,11111,1181
no,no,333.92701298701314,206.33506493506485,279.58942857142847,100.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,80.74761486053467,0.8133087158203125,11111,1181
