time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time
no,no,333.92701298701314,206.33506493506485,260.42499999999995,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,19.91503190994263,0.7973377704620361
no,no,333.92701298701314,206.33506493506485,256.70500000000004,100.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,19.91503190994263,0.7990741729736328
no,no,333.92701298701314,206.33506493506485,267.0083333333333,100.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,19.91503190994263,0.7958769798278809
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,19.91503190994263,0.7113425731658936
no,no,333.92701298701314,206.33506493506485,269.395,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,19.91503190994263,0.7221682071685791
no,no,333.92701298701314,206.33506493506485,280.60909090909087,100.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,19.91503190994263,0.7307515144348145
no,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,19.91503190994263,0.4888219833374024
no,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,19.91503190994263,0.4751019477844238
no,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,19.91503190994263,0.4692258834838867
no,no,333.92701298701314,206.33506493506485,269.395,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,19.91503190994263,0.7911438941955566
no,no,333.92701298701314,206.33506493506485,269.97217391304343,100.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,19.91503190994263,0.7857894897460938
no,no,333.92701298701314,206.33506493506485,279.58942857142847,100.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,19.91503190994263,0.7659070491790771
no,no,333.92701298701314,206.33506493506485,260.42499999999995,100.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,19.91503190994263,0.8186938762664795
no,no,333.92701298701314,206.33506493506485,256.70500000000004,100.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,19.91503190994263,0.8336060047149658
no,no,333.92701298701314,206.33506493506485,267.0083333333333,100.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,19.91503190994263,0.8203761577606201
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,19.91503190994263,0.7502110004425049
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,19.91503190994263,0.7492449283599854
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,19.91503190994263,0.7407193183898926
no,no,333.92701298701314,206.33506493506485,264.4325,100.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,19.91503190994263,0.7805242538452148
no,no,333.92701298701314,206.33506493506485,259.695,100.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,19.91503190994263,0.8423562049865723
no,no,333.92701298701314,206.33506493506485,267.0083333333333,100.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,19.91503190994263,0.8253104686737059
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,19.91503190994263,0.778080940246582
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,19.91503190994263,0.750544548034668
no,no,333.92701298701314,206.33506493506485,281.30499999999995,100.0,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,19.91503190994263,0.8082513809204102
